Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which method would be most appropriate for identifying actual tasks performed by a machine operator during a shift?,Personality inventory,Direct observation,Assessment center,Organizational survey,2,"Direct observation is especially useful for visible, concrete job tasks such as machine operation.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A major purpose of job analysis is to:,Eliminate the need for performance appraisal,Identify job duties and worker requirements,Predict national labor trends,Replace training needs assessment,2,"Job analysis defines tasks, duties, responsibilities, and the KSAOs needed for performance.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which job analysis method relies heavily on observing critical behaviors that distinguish effective from ineffective performance?,Critical incidents technique,Assessment center,Forced distribution,Graphic rating scale,1,This method collects examples of effective and ineffective behaviors to identify important job requirements.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
O*NET is most useful because it:,Serves as a national database of occupational information,Replaces local job analysis in all cases,Measures employee motivation directly,Eliminates legal concerns in selection,1,O*NET provides standardized occupational descriptions and job-related information across occupations.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"In recruitment, the primary purpose of a realistic job preview is to:",Attract as many applicants as possible regardless of fit,Increase initial applicant reactions only,Reduce turnover by providing balanced job information,Replace structured interviews,3,"Realistic job previews help applicants form accurate expectations, reducing later dissatisfaction and turnover.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which recruitment source is most likely to increase workforce homogeneity if overused?,Public employment office,Employee referrals,Online job boards,University placement centers,2,Referral systems may reproduce existing workforce similarity if employees recommend people like themselves.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A predictor shows adverse impact against a protected group. The employer’s best defense is to show that the predictor:,Is popular among supervisors,Has high face validity,Is job related and consistent with business necessity,Is cheaper than alternatives,3,"Where adverse impact exists, the employer must typically demonstrate that the procedure is job related and necessary.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement best describes a bona fide occupational qualification?,Any requirement preferred by management,A qualification reasonably necessary to the normal operation of the business,Any trait related to organizational culture,A general defense for intelligence tests,2,A BFOQ is a narrow legal exception allowing certain otherwise discriminatory qualifications when essential to business operation.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which interview type generally produces the highest reliability and validity?,Unstructured interview,Stress interview,Structured interview,Panel interview without standardized scoring,3,"Structured interviews standardize questions, scoring, and evaluation criteria, improving reliability and validity.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which is the strongest advantage of structured interviews over unstructured interviews?,They are always shorter,They reduce interviewer discretion and increase standardization,They eliminate faking,They do not require job analysis,2,"This reduces bias, increases comparability across candidates, and strengthens defensibility.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A situational interview question usually asks applicants:,To describe a past behavior,To interpret a personality profile,What they would do in a hypothetical job situation,To complete a work sample,3,Situational interviews present job-relevant hypothetical scenarios and ask how the applicant would respond.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Biodata is best described as:,A biological assessment of stress hormones,Weighted information about an applicant’s life and work history,A clinical interview used in diagnosis,A method for observing behavior on the job,2,Biodata uses biographical information shown empirically to relate to work outcomes.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which selection method has especially strong content validity when it closely resembles actual job tasks?,Integrity test,Work sample,Interest inventory,Graphology,2,Work samples are highly job related because they require applicants to perform representative job tasks.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Integrity tests are primarily intended to predict:,Physical stamina,Counterproductive work behaviors,Cognitive complexity,Leadership emergence,2,"Integrity tests are intended to predict theft, dishonesty, rule-breaking, and related deviance.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement about cognitive ability tests is most accurate?,They are generally poor predictors of job performance,They often predict training and job performance well,They cannot be validated legally,They measure only acquired knowledge,2,Cognitive ability is one of the strongest general predictors of training success and many forms of job performance.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Assessment centers are especially appropriate when selecting:,Entry-level workers for repetitive manual tasks only,Applicants for managerial or supervisory roles,Applicants when no job analysis exists,Workers for jobs requiring no interpersonal skill,2,"Assessment centers are commonly used for complex roles involving leadership, communication, and decision making.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which of the following best illustrates criterion contamination?,A predictor fails to cover all job tasks,A performance criterion is influenced by factors unrelated to actual performance,The criterion is too broad,Applicants dislike the test,2,Criterion contamination occurs when the criterion includes irrelevant influences such as favoritism or opportunity differences.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"If a performance appraisal is used primarily to improve employee development, the rater should emphasize:",Punitive documentation,Specific behavioral feedback,Forced ranking only,Seniority-based comparisons,2,"Developmental appraisal works best when employees receive concrete, behavior-focused feedback they can act on.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which source of appraisal information is especially vulnerable to halo error?,Objective production records,Single overall supervisor impressions,Electronic performance logs,Work sample tests,2,A rater relying on general impressions is especially prone to halo effects.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A supervisor rates an employee high on all dimensions because the employee is very punctual. This is an example of:,Central tendency,Recency effect,Halo error,Contrast effect,3,A single favorable trait spreads across unrelated rating dimensions.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Recency error occurs when:,Raters give everyone average scores,Recent behavior is weighted too heavily in appraisal,The first impression dominates ratings,Supervisors compare employees with themselves,2,Recency error overemphasizes what happened just before the rating.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Behaviorally Anchored Rating Scales are designed primarily to:,Eliminate the need for rater training,Link performance dimensions with specific behavioral examples,Rank employees from best to worst,Measure personality rather than performance,2,"BARS anchors scale points with examples of actual job behavior, improving clarity.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which appraisal system is most likely to increase legal defensibility?,Vague traits with no documentation,Standardized dimensions derived from job analysis,Informal impressions by managers,Ratings based solely on loyalty,2,"Job-related, documented, standardized appraisal systems are more defensible legally and more accurate.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A 360-degree feedback system typically includes ratings from:,Supervisors only,Peers only,"Multiple sources such as supervisors, peers, and subordinates",Customers only,3,360-degree feedback gathers perspectives from several relevant raters.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
The first step in effective training design is usually to:,Deliver the program,Conduct a training needs assessment,Reward attendance,Select a trainer based on popularity,2,Training should begin with diagnosing whether training is needed and what type is needed.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"Which type of training needs analysis focuses on whether an individual employee lacks knowledge, skill, or readiness?",Organizational analysis,Task analysis,Person analysis,Utility analysis,3,Person analysis examines who needs training and whether the individual lacks required competencies or readiness.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A company wants trainees to practice handling angry customers in a safe but realistic format. The best method is:,Lecture,Role-play,Job rotation only,Programmed text,2,Role-play is ideal for practicing interpersonal responses in realistic but controlled situations.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Transfer of training is most likely when:,The training content is unrelated to job demands,Supervisors discourage use of new skills,Trainees can practice behaviors similar to those required on the job,Training occurs without feedback,3,Transfer improves when training closely resembles job demands and trainees can apply new skills.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which level of training evaluation focuses on whether trainees liked the program?,Reaction,Learning,Behavior,Results,1,Reaction evaluation assesses trainee satisfaction or immediate impressions of the program.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement about motivation is most consistent with expectancy theory?,People are motivated only by unmet physiological needs,"Motivation depends on expected links among effort, performance, and outcomes",Motivation is caused mainly by reinforcement history,Motivation depends only on fairness judgments,2,"Expectancy theory proposes that motivation depends on expectancy, instrumentality, and valence.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
An employee works hard because she believes effort will improve performance and good performance will lead to a valued bonus. This is best explained by:,Equity theory,Expectancy theory,Need hierarchy,Two-factor theory,2,The employee believes effort leads to performance and performance leads to a valued reward.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"According to equity theory, employees are most likely to feel distress when they:",Receive feedback,Perceive imbalance between their inputs and outcomes relative to others,Have high achievement needs,Lack autonomy,2,Equity theory centers on social comparison and perceived fairness of exchange ratios.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"Which theory is most closely associated with the importance of specific, difficult goals?",Goal-setting theory,Drive reduction theory,Human relations theory,Trait activation theory,1,Goal-setting theory highlights the motivational effect of specific and challenging goals.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"In Herzberg’s two-factor theory, salary and company policy are usually considered:",Motivators,Hygiene factors,Growth needs,Valences,2,"In Herzberg’s theory, salary and policy prevent dissatisfaction but do not necessarily create lasting satisfaction.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"According to the Job Characteristics Model, experienced meaningfulness is promoted by:",Low autonomy and low feedback,"Skill variety, task identity, and task significance",Extrinsic rewards only,Strict supervision and close control,2,These core job dimensions contribute to experienced meaningfulness in the Job Characteristics Model.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Self-determination theory emphasizes that intrinsic motivation is strengthened when work supports:,"Centralization, surveillance, and punishment","Autonomy, competence, and relatedness",Seniority and tenure,Competition and scarcity,2,Self-determination theory emphasizes these basic psychological needs.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Job satisfaction is best described as:,A permanent personality trait,A positive emotional response toward one’s job,The same as organizational commitment,An objective measure of productivity,2,Job satisfaction is an evaluative and affective response to one’s work or job conditions.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which form of commitment reflects staying with an organization because leaving would be costly?,Affective commitment,Normative commitment,Continuance commitment,Moral commitment,3,Continuance commitment involves staying because the perceived cost of leaving is high.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Organizational citizenship behavior refers to:,Minimum required performance,Voluntary behavior that supports the organization but is not formally required,Union activity,Turnover intention,2,OCB includes extra-role helpful behavior that benefits the organization.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement about job satisfaction and performance is most accurate?,They are completely unrelated,High performance always causes dissatisfaction,"They are positively related, though the relationship is not perfect",Satisfaction matters only in clerical jobs,3,Research generally shows a modest positive relationship between satisfaction and performance.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which is the best example of absenteeism as a work attitude outcome?,Staying late to help a coworker,Frequently failing to report for scheduled work,Reporting harassment,Applying for promotion,2,Absenteeism involves failure to attend scheduled work and is often linked to negative work attitudes.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Burnout is most commonly characterized by:,"Emotional exhaustion, cynicism, and reduced accomplishment",Increased intrinsic motivation,High organizational commitment,Improved concentration under stress,1,These are the classic components associated with burnout.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Role ambiguity is present when an employee:,Has too many tasks,Receives incompatible job demands,Is unclear about expectations and responsibilities,Works long hours,3,Role ambiguity occurs when employees do not know what is expected of them.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Role conflict occurs when:,A worker does not understand instructions,Two or more job demands are incompatible,A person lacks ability,A task is repetitive,2,Role conflict arises when fulfilling one expectation makes it difficult to fulfill another.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which is an example of a dispositional source of stress?,Excessive workload,Ambiguous policies,Type A pattern or negative affectivity,Unsafe lighting,3,Dispositional stressors come from characteristics within the individual.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Counterproductive work behavior includes:,Helping a new employee learn the job,Voluntary attendance at safety training,"Theft, sabotage, or chronic withdrawal",Suggesting process improvements,3,These are classic counterproductive work behaviors.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which organizational strategy is most likely to reduce stress?,Increasing role ambiguity,Removing employee control where possible,Clarifying roles and improving supervisor support,Encouraging constant overtime,3,Stress is reduced when expectations are clear and support is available.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"In communication, the grapevine refers to:",Formal top-down memos,Informal channels through which information spreads,A legal grievance system,Computerized performance dashboards,2,The grapevine is the organization’s informal communication network.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which communication flow occurs when employees send information to higher levels of management?,Downward,Upward,Lateral,Diagonal only,2,Upward communication moves from lower to higher organizational levels.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Noise in the communication process refers to:,Loud sound in the workplace only,Any factor that interferes with accurate message transmission or interpretation,The sender’s authority,Formal chain of command,2,"Noise includes physical, semantic, psychological, or organizational interference.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Group cohesion generally refers to:,The amount of conflict in a group,The attractiveness of the group to its members,The size of the formal hierarchy,The degree of centralization,2,Cohesion reflects the strength of members’ desire to remain in and support the group.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Groupthink is most likely when:,Members critically evaluate alternatives,Cohesive groups discourage dissent and strive for unanimity,Roles are clearly differentiated,Team diversity is high and well managed,2,Groupthink involves pressure toward consensus and insufficient critical evaluation.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Social loafing is best described as:,Better performance in the presence of others,Reduced individual effort when working in a group,Conflict between departments,A norm of helping behavior,2,Social loafing occurs when individual effort declines because responsibility is diffused.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which conflict style reflects high concern for self and low concern for others?,Avoiding,Accommodating,Competing,Collaborating,3,Competing reflects assertiveness for one’s own goals with relatively low cooperativeness.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement best distinguishes work teams from simple work groups?,Teams never experience conflict,Teams usually require interdependence and shared goals,Teams are always larger than groups,Teams eliminate individual accountability,2,Teams are distinguished by coordinated effort and interdependent work toward shared outcomes.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Trait theories of leadership assume that:,Leadership depends only on training,Certain individual characteristics are associated with leadership effectiveness,Leadership is irrelevant to performance,All leaders behave the same way,2,"Trait approaches focus on qualities such as confidence, intelligence, and dominance linked to leadership.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Fiedler’s contingency model emphasizes the match between:,Pay and satisfaction,Leader style and situational favorableness,Personality and integrity,Justice and commitment,2,Fiedler proposed that leadership effectiveness depends on fit between style and situation.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Transformational leaders are most likely to:,Rely only on punishments,"Inspire followers through vision, intellectual stimulation, and individualized consideration",Avoid change,Focus solely on short-term exchanges,2,These are hallmark features of transformational leadership.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Leader-member exchange theory focuses on:,The legal basis of leadership,Differences in relationships leaders form with various subordinates,Reinforcement schedules used by leaders,Whether leaders are born or made,2,LMX theory stresses that leaders develop varying quality relationships with different followers.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Power based on a leader’s expertise is called:,Legitimate power,Coercive power,Expert power,Referent power,3,Expert power comes from specialized knowledge or competence.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Organizational politics is best defined as:,Government regulation of employment,Informal efforts to influence others and decisions to protect or advance self-interest,The formal chain of command,Collective bargaining only,2,"Organizational politics involves influence behavior outside formal authority structures, often self-serving.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"Which organizational structure is characterized by many rules, high formalization, and centralized decision-making?",Organic structure,Matrix structure,Mechanistic structure,Network structure,3,"Mechanistic structures are formalized, centralized, and rule-bound.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Span of control refers to:,The number of reward systems in an organization,The number of subordinates reporting directly to a manager,The degree of task identity,The extent of job enlargement,2,Span of control describes the breadth of direct supervision.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Organizational culture refers to:,Nationality composition only,"Shared assumptions, values, and norms that shape behavior",Written policies only,Formal structure and hierarchy exclusively,2,Organizational culture is the shared meaning system guiding how people think and act at work.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Organizational development is best described as:,Replacing all managers,"Planned, organization-wide efforts to improve effectiveness and health",A method for computing utility tables,A legal approach to staffing,2,Organization development uses planned change to improve functioning and quality of organizational life.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which intervention is most consistent with organization development?,Job knowledge testing,Survey feedback,Integrity screening,Biodata scoring,2,Survey feedback is a classic OD intervention in which data are collected and fed back for change planning.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A company replaces several layers of management with self-managed teams. This is most consistent with:,Centralization,Downsizing and flatter structure,Scientific management only,Forced ranking,2,"Removing layers and using self-managed teams reflects a flatter organizational form, often associated with downsizing or restructuring.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A test administrator allows an untrained clerk to interpret psychometric test results for job applicants. This is most ethically problematic because it violates:,Impression management,Boundaries of competence,Group norms,Face validity,2,Allowing an unqualified person to interpret tests violates competence standards and may harm applicants.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"Under professional ethical principles, confidential client or examinee information may be disclosed without consent when:",A friend is curious,A supervisor wants gossip,Disclosure is legally mandated or necessary to prevent serious harm,The psychologist wants a teaching example,3,Confidentiality may be limited where law requires disclosure or where serious harm must be prevented.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which practice is most consistent with ethical test use?,Using any available test as long as it is inexpensive,Providing interpretations beyond one’s competence,Explaining test purposes and limitations to the examinee when appropriate,Posting examinee scores publicly for transparency,3,"Ethical testing includes informed consent elements, proper explanation, and respectful administration.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A psychology practitioner is asked to provide services in a new area using unfamiliar techniques. The most ethical initial response is to:,Accept immediately to gain experience,Proceed without supervision,"Obtain education, consultation, supervision, or make an appropriate referral",Delegate the work to any available employee,3,Ethical practice requires working within competence and taking steps to build competence or refer appropriately.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which situation best illustrates a potentially harmful multiple relationship?,Conducting a structured interview,Evaluating the job performance of one’s romantic partner in an organization,Conducting a job analysis for a new position,Using more than one predictor in hiring,2,This creates a likely conflict of interest and threatens objectivity and fairness.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Republic Act No. 10029 is most directly relevant to psychometricians because it:,Regulates labor unions,Defines the legal framework for the practice of psychology and psychometrics in the Philippines,Sets minimum wage rates,Replaces ethical codes,2,"RA 10029 is the Philippine Psychology Act of 2009, which regulates the professional practice of psychology and psychometrics.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A registered psychometrician in the Philippines would be acting beyond proper limits if he independently:,Administers and scores standardized objective tests within authorized functions,Prepares test data for review,Conducts final psychological psychotherapy as though licensed as a psychologist,Assists in assessment-related procedures under proper standards,3,A psychometrician must work within legally defined professional scope and should not independently perform functions reserved to licensed psychologists or other authorized professionals.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which scenario best reflects an ethical issue in test administration?,Standardized instructions are followed closely,Time limits are changed for one favored applicant without valid accommodation basis,Test materials are secured,Scoring keys are verified,2,"Changing standardized administration unfairly for favoritism compromises fairness, validity, and ethics.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A company uses social media screening to reject applicants based on irrelevant private characteristics. The main I/O concern is:,Utility maximization only,"Fairness, privacy, and job relevance",Increasing criterion deficiency,Leader-member exchange,2,Social media screening raises concerns when irrelevant personal information affects hiring decisions.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement best reflects evidence-based I/O practice?,Decisions should rely primarily on managerial intuition,Interventions should be guided by the best available research and local data,Organizational traditions are always superior to data,Employee attitudes are too subjective to measure,2,"Evidence-based practice integrates scientific findings, organizational data, and professional judgment.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which is the best example of criterion deficiency?,A performance measure includes favoritism,A performance measure omits important aspects of job performance,Scores vary across raters,The measure has high face validity,2,Criterion deficiency occurs when the criterion fails to capture relevant dimensions of performance.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"In utility analysis, the practical question is:",Whether employees like the test,Whether a selection method provides economic value to the organization,Whether a rater is lenient,Whether training is entertaining,2,Utility analysis asks whether a method improves decisions enough to justify its cost.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
"When an organization uses a top-down selection approach, it generally:",Randomly hires qualified candidates,Selects applicants starting from the highest predictor scores,Gives priority to seniority only,Avoids cut scores altogether,2,Top-down selection ranks applicants by scores and hires from the top downward.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A supervisor compares a current average employee with an exceptionally poor previous employee and gives the current employee an inflated rating. This is:,Contrast error,Recency error,Leniency error,Similar-to-me bias,1,Contrast error occurs when one employee is judged relative to another instead of against standards.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which intervention is most likely to improve procedural justice perceptions during layoffs?,Giving no explanation to employees,Using consistent procedures and communicating decisions respectfully,Keeping criteria secret,Letting only one manager decide without standards,2,"Procedural justice improves when procedures are consistent, explained, and implemented with dignity.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement about workplace diversity is most accurate from an I/O perspective?,Diversity is always harmful to team performance,Diversity has no effect unless mandated by law,Diversity can improve creativity and decision quality when managed effectively,Diversity concerns are unrelated to organizational culture,3,"Diversity can bring broader perspectives and better problem solving, but outcomes depend on management and climate.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
An organization wants to reduce turnover among new hires. Which combination is most defensible?,Vague job ads and delayed onboarding,Realistic job previews and effective socialization,Increasing role ambiguity,Unstructured interviews only,2,Accurate expectations and strong onboarding help new hires adjust and remain.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which best illustrates person-job fit?,The employee likes the organization’s logo,The employee’s abilities and interests match job demands,The employee has many friends at work,The employee has long tenure regardless of skill,2,Person-job fit concerns compatibility between the individual and the specific job.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which best illustrates person-organization fit?,Matching an employee’s values with organizational values and culture,Matching an employee’s height with desk size,Matching an applicant’s typing speed with data entry demands,Matching pay to local market rates only,1,Person-organization fit emphasizes value congruence and compatibility with the broader organization.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
A supervisor wants to increase safe behavior on a production line by praising workers immediately after correct safety procedures. This is most consistent with:,Reinforcement theory,Equity theory,Path-goal theory,Great man theory,1,Immediate praise following desired behavior is positive reinforcement.,Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Which statement best captures the central aim of I/O psychology in modern organizations?,Maximize productivity even if worker well-being declines,Improve both organizational effectiveness and employee well-being,Replace managers with tests,Focus only on hiring and ignore post-hire processes,2,"Modern I/O psychology seeks dual outcomes: strong organizational performance and healthy, effective workers.",Medium,Industrial/Organizational Psychology,Exam 1,Exam 1
Industrial/organizational psychology is best defined as the branch of psychology that:,studies abnormal behavior in hospital settings,applies psychological principles to behavior in work settings,focuses exclusively on organizational profitability,measures intelligence for educational placement only,2,"I/O psychology focuses on understanding behavior in work settings and applying psychological principles to improve employee behavior, workplace processes, and organizational functioning.",Medium,Industrial/Organizational Psychology,Exam 2,Exam 2
Which pair best represents the two broad aims of I/O psychology?,Diagnosis and psychotherapy,Research and application,Counseling and guidance,Marketing and finance,2,I/O psychology aims both to generate knowledge through systematic research and to apply that knowledge to workplace problems and organizational improvement.,Medium,Industrial/Organizational Psychology,Exam 2,Exam 2
Frederick W. Taylor is most closely associated with:,equity theory,scientific management,transformational leadership,groupthink,2,"Taylor is known for scientific management, which emphasized studying tasks systematically to improve efficiency and productivity.",Medium,Industrial/Organizational Psychology,Exam 2,Exam 2
The Hawthorne effect refers to changes in worker behavior primarily because:,wages were increased,workers were threatened with dismissal,workers knew they were being observed,the work became intrinsically rewarding,3,The Hawthorne effect refers to changes in behavior that occur because workers are aware they are being observed and given attention.,Medium,Industrial/Organizational Psychology,Exam 2,Exam 2
Walter Dill Scott and Hugo Münsterberg are important in I/O psychology because they were:,pioneers in applying psychology to work problems,founders of psychoanalysis,developers of the MMPI,originators of systems theory,1,"Scott and Münsterberg were among the earliest figures to apply psychological principles to advertising, personnel selection, and work efficiency.",Medium,Industrial/Organizational Psychology,Exam 2,Exam 2
A major contribution of World War I to I/O psychology was the:,development of sensitivity training,first large-scale employee testing and placement efforts,invention of assessment centers,creation of organizational development,2,"World War I led to large-scale use of psychological testing, especially for classifying and placing military recruits.",Medium,Industrial/Organizational Psychology,Exam 2,Exam 2
The scientist-practitioner model emphasizes that I/O psychologists should:,avoid practical work to preserve objectivity,rely only on intuition in solving work problems,integrate research evidence with applied practice,focus on therapy before assessment,3,The scientist-practitioner model requires I/O psychologists to ground practical decisions and interventions in sound research evidence.,Medium,Industrial/Organizational Psychology,Exam 2,Exam 2
